name,rating,snippet,temp_text,stemmed_text,tokenized_text,cleaned_text
Rakhmadi Irfansyah Putra,5.0,Kampus teknik memiliki kompetensi ketenaga listrikan,kampus teknik memiliki kompetensi ketenaga listrikan,kampus teknik milik kompetensi tenaga listrik,"['kampus', 'teknik', 'milik', 'kompetensi', 'tenaga', 'listrik']","['kampus', 'teknik', 'milik', 'kompetensi', 'tenaga', 'listrik']"
Muh. Khalif Al Fatah C,1.0,"Mohon Anjungan mahasiswanya Dibenerin, Ukt elit, anjungan sulitt",mohon anjungan mahasiswanya dibenerin ukt elit anjungan sulitt,mohon anjung mahasiswa dibenerin ukt elit anjung sulitt,"['mohon', 'anjung', 'mahasiswa', 'dibenerin', 'ukt', 'elit', 'anjung', 'sulitt']","['mohon', 'anjung', 'mahasiswa', 'dibenerin', 'ukt', 'elit', 'anjung', 'sulitt']"
Puangthalita Amanda Ak,4.0,"kampusnya bagus cuma kurang luas buat menampung mahasiswa  yg banyak ,,, dan musollah nya juga",kampusnya bagus luas menampung mahasiswa musollah,kampus bagus luas tampung mahasiswa musollah,"['kampus', 'bagus', 'luas', 'tampung', 'mahasiswa', 'musollah']","['kampus', 'bagus', 'luas', 'tampung', 'mahasiswa', 'musollah']"
Iswan,5.0,Luar biasa perubahan yang terjadi pada instusi pendidikan ini. Semoga menjadi lebih baik lagi,perubahan instusi pendidikan semoga,ubah instusi didik moga,"['ubah', 'instusi', 'didik', 'moga']","['ubah', 'instusi', 'didik', 'moga']"
raditya arizal p,4.0,"Gedung yang khas sebagai tempat belajar,, salah satu Perguruan Tinggi yang dimiliki perusahaan PT. PLN.",gedung khas belajar salah perguruan dimiliki perusahaan pt pln,gedung khas ajar salah guru milik usaha pt pln,"['gedung', 'khas', 'ajar', 'salah', 'guru', 'milik', 'usaha', 'pt', 'pln']","['gedung', 'khas', 'ajar', 'salah', 'guru', 'milik', 'usaha', 'pt', 'pln']"
Albert Lastian,4.0,Saya ada submit jurnal di PETIR kira - kira kapan ya di review ?,submit jurnal petir ya review,submit jurnal petir ya review,"['submit', 'jurnal', 'petir', 'ya', 'review']","['submit', 'jurnal', 'petir', 'ya', 'review']"
Muhammad Nidzar,5.0,"Sekolah nya bagus, bagus untuk dibakar",sekolah bagus bagus dibakar,sekolah bagus bagus bakar,"['sekolah', 'bagus', 'bagus', 'bakar']","['sekolah', 'bagus', 'bagus', 'bakar']"
Muhammad Rakha,1.0,Sistem pelayanan pembayaran dan akademik tidak sesuai dengan nama PLN nya karena bener2 sangat mengecewakan.,sistem pelayanan pembayaran akademik sesuai nama pln bener2 mengecewakan,sistem layan bayar akademik sesuai nama pln bener2 kecewa,"['sistem', 'layan', 'bayar', 'akademik', 'sesuai', 'nama', 'pln', 'bener2', 'kecewa']","['sistem', 'layan', 'bayar', 'akademik', 'sesuai', 'nama', 'pln', 'bener2', 'kecewa']"
teddy mardona,5.0,Bersih dan bagus,bersih bagus,bersih bagus,"['bersih', 'bagus']","['bersih', 'bagus']"
nurmiati pasra,5.0,"Dosen2 yang berkualitas, Fasilitas Laboratorium Lengkap, Kampus yang makin kondusif....",dosen2 berkualitas fasilitas laboratorium lengkap kampus kondusif,dosen2 kualitas fasilitas laboratorium lengkap kampus kondusif,"['dosen2', 'kualitas', 'fasilitas', 'laboratorium', 'lengkap', 'kampus', 'kondusif']","['dosen2', 'kualitas', 'fasilitas', 'laboratorium', 'lengkap', 'kampus', 'kondusif']"
fahri rizal,5.0,Akses cepat dan terjangkau karna lebih dekat akses jalan tol dan transport umun yg memadai,akses cepat terjangkau karna akses jalan tol transport umun memadai,akses cepat jangkau karna akses jalan tol transport umun pada,"['akses', 'cepat', 'jangkau', 'karna', 'akses', 'jalan', 'tol', 'transport', 'umun', 'pada']","['akses', 'cepat', 'jangkau', 'karna', 'akses', 'jalan', 'tol', 'transport', 'umun', 'pada']"
arifmaulana rezapangestu,5.0,assalamualaikum selamat siang bapak/ibu apakah disini menerima pkl jurusan listrik,assalamualaikum selamat siang bapakibu menerima pkl jurusan listrik,assalamualaikum selamat siang bapakibu terima pkl jurus listrik,"['assalamualaikum', 'selamat', 'siang', 'bapakibu', 'terima', 'pkl', 'jurus', 'listrik']","['assalamualaikum', 'selamat', 'siang', 'bapakibu', 'terima', 'pkl', 'jurus', 'listrik']"
Oky Mahmuri,1.0,"Lulusan dari sini gak ada Kualitasnya, apalagi attitudenya",lulusan kualitasnya attitudenya,lulus kualitas attitudenya,"['lulus', 'kualitas', 'attitudenya']","['lulus', 'kualitas', 'attitudenya']"
Adi Candra,5.0,👍, ,,[],[]
Andinikma srihandayaniM,5.0,"Sederhana, bukan tanpa kekurangan, tapi merasa bangga menggunakan almamater di kampus ini.",sederhana kekurangan bangga almamater kampus,sederhana kurang bangga almamater kampus,"['sederhana', 'kurang', 'bangga', 'almamater', 'kampus']","['sederhana', 'kurang', 'bangga', 'almamater', 'kampus']"
Yan Adeline,1.0,Itu student worker kalian sombong banget sok cantik,student worker sombong banget sok cantik,student worker sombong banget sok cantik,"['student', 'worker', 'sombong', 'banget', 'sok', 'cantik']","['student', 'worker', 'sombong', 'banget', 'sok', 'cantik']"
ujang bedhul,4.0,Sempat kelewatan krn gak ada papan petunjuk lokasi.,kelewatan papan petunjuk lokasi,lewat papan tunjuk lokasi,"['lewat', 'papan', 'tunjuk', 'lokasi']","['lewat', 'papan', 'tunjuk', 'lokasi']"
Elisa Rosita Dewi,5.0,"kampus yg luar biasa , dari sabang sampai marauke ada disini",kampus sabang marauke,kampus sabang marauke,"['kampus', 'sabang', 'marauke']","['kampus', 'sabang', 'marauke']"
Muhammad Rafly Syahputra,1.0,"proses sertifikasi rumit, tidak responsif, berbelit belit, tidak bertanggung jawab. terutama dari pihak ITCC",proses sertifikasi rumit responsif berbelit belit bertanggung itcc,proses sertifikasi rumit responsif belit belit tanggung itcc,"['proses', 'sertifikasi', 'rumit', 'responsif', 'belit', 'belit', 'tanggung', 'itcc']","['proses', 'sertifikasi', 'rumit', 'responsif', 'belit', 'belit', 'tanggung', 'itcc']"
chandra triatmaja,5.0,Sdh tambah bagus kampus dan taman ny..parkiran pun luas,bagus kampus taman nyparkiran luas,bagus kampus taman nyparkiran luas,"['bagus', 'kampus', 'taman', 'nyparkiran', 'luas']","['bagus', 'kampus', 'taman', 'nyparkiran', 'luas']"
Chelynna Navysealta,1.0,KOLOT,kolot,kolot,['kolot'],['kolot']
Tristan Tata,5.0,Keren,keren,keren,['keren'],['keren']
Hanasbey Rosa,5.0,"Semoga di terima dan lulus saat ujian disini
STT PLN  terbaik  jaman now 😊😉",semoga terima lulus ujian stt pln terbaik jaman now ,moga terima lulus uji stt pln baik jaman now,"['moga', 'terima', 'lulus', 'uji', 'stt', 'pln', 'baik', 'jaman', 'now']","['moga', 'terima', 'lulus', 'uji', 'stt', 'pln', 'baik', 'jaman', 'now']"
Ganis K,5.0,Karena d sinilah smua awal perjuangan ku mengabdi kepada negara ini d mulai,d smua perjuangan ku mengabdi negara d,d smua juang ku abdi negara d,"['d', 'smua', 'juang', 'ku', 'abdi', 'negara', 'd']","['d', 'smua', 'juang', 'ku', 'abdi', 'negara', 'd']"
Eka Yuda.k,5.0,Sttpln duri kosambi,sttpln duri kosambi,sttpln duri kosambi,"['sttpln', 'duri', 'kosambi']","['sttpln', 'duri', 'kosambi']"
Bang Jo,5.0,Sekolah yang membuat Lulusan Sarjana Berkompetensi di dunia kerja seperti Militan,sekolah lulusan sarjana berkompetensi dunia kerja militan,sekolah lulus sarjana kompetensi dunia kerja militan,"['sekolah', 'lulus', 'sarjana', 'kompetensi', 'dunia', 'kerja', 'militan']","['sekolah', 'lulus', 'sarjana', 'kompetensi', 'dunia', 'kerja', 'militan']"
David Pan (dave),4.0,Sekolah tinggi teknik PLN yng bernaung di bawah yayasan pendisikan & kesejahteraan PT. PLN,sekolah teknik pln yng bernaung yayasan pendisikan kesejahteraan pt pln,sekolah teknik pln yng naung yayasan pendisikan sejahtera pt pln,"['sekolah', 'teknik', 'pln', 'yng', 'naung', 'yayasan', 'pendisikan', 'sejahtera', 'pt', 'pln']","['sekolah', 'teknik', 'pln', 'yng', 'naung', 'yayasan', 'pendisikan', 'sejahtera', 'pt', 'pln']"
Adin Insya,5.0,Tempatnya dimana anak teknik berprestasi berada dikemudian hari insya Allah.,tempatnya dimana anak teknik berprestasi dikemudian insya allah,tempat mana anak teknik prestasi kemudi insya allah,"['tempat', 'mana', 'anak', 'teknik', 'prestasi', 'kemudi', 'insya', 'allah']","['tempat', 'mana', 'anak', 'teknik', 'prestasi', 'kemudi', 'insya', 'allah']"
Awal Awal,4.0,Tempat Kader baru sarjana kelistrikan,kader sarjana kelistrikan,kader sarjana listrik,"['kader', 'sarjana', 'listrik']","['kader', 'sarjana', 'listrik']"
Puja Trisdayanti,5.0,Boleh info koskosan sekitaran kampus dong,info koskosan sekitaran kampus,info koskosan sekitar kampus,"['info', 'koskosan', 'sekitar', 'kampus']","['info', 'koskosan', 'sekitar', 'kampus']"
Supriyatno Ompi,5.0,Alhamdulillah anak saya yang nomer 1 sudah lulus dari sini,alhamdulillah anak nomer 1 lulus,alhamdulillah anak nomer 1 lulus,"['alhamdulillah', 'anak', 'nomer', '1', 'lulus']","['alhamdulillah', 'anak', 'nomer', '1', 'lulus']"
Edy Doger,5.0,Kampus yg mantab selain itu memang tempat kerja aqu,kampus mantab kerja aqu,kampus mantab kerja aqu,"['kampus', 'mantab', 'kerja', 'aqu']","['kampus', 'mantab', 'kerja', 'aqu']"
vhiendy savella,5.0,Dosen PAnya keceeee cc : pak Rakhmadi 👌🏻👌🏻😍,dosen panya keceeee cc rakhmadi ,dosen panya keceeee cc rakhmadi,"['dosen', 'panya', 'keceeee', 'cc', 'rakhmadi']","['dosen', 'panya', 'keceeee', 'cc', 'rakhmadi']"
Maria Susanti,5.0,Harapan anakku memulai menuntut ilmu..sukses sllu,harapan anakku menuntut ilmusukses sllu,harap anak tuntut ilmusukses sllu,"['harap', 'anak', 'tuntut', 'ilmusukses', 'sllu']","['harap', 'anak', 'tuntut', 'ilmusukses', 'sllu']"
Fajar Riyanto,5.0,tempat yg mengajarkan ku tentang listrik di tempat ini lah aku belajar,mengajarkan ku listrik belajar,ajar ku listrik ajar,"['ajar', 'ku', 'listrik', 'ajar']","['ajar', 'ku', 'listrik', 'ajar']"
Fredella Gea,5.0,😎😎, ,,[],[]
Anugrah Syarif,5.0,Bagus,bagus,bagus,['bagus'],['bagus']
Mohammad Zhafran Nabil,4.0,Ingat pintu masuk sebelum pombensin sebelah toko Ban,pintu masuk pombensin sebelah toko ban,pintu masuk pombensin belah toko ban,"['pintu', 'masuk', 'pombensin', 'belah', 'toko', 'ban']","['pintu', 'masuk', 'pombensin', 'belah', 'toko', 'ban']"
Dimas T.A,5.0,banyak orang dari berbagai suku dan latar belakang yang berkuliah di sini,orang suku latar berkuliah,orang suku latar kuliah,"['orang', 'suku', 'latar', 'kuliah']","['orang', 'suku', 'latar', 'kuliah']"
ruth Simanungkalit,5.0,kalau ujan terkadang saya merasa sedih,ujan terkadang sedih,ujan terkadang sedih,"['ujan', 'terkadang', 'sedih']","['ujan', 'terkadang', 'sedih']"
Janter Sitorus,4.0,Tempat nya strategis mudah dijangkau,strategis mudah dijangkau,strategis mudah jangkau,"['strategis', 'mudah', 'jangkau']","['strategis', 'mudah', 'jangkau']"
Sangaji ardiyan putra,5.0,"Sekedar singgah ke lantai 8.
See you HIMAPRODIT 2010.",sekedar singgah lantai 8 see you himaprodit 2010,dar singgah lantai 8 see you himaprodit 2010,"['dar', 'singgah', 'lantai', '8', 'see', 'you', 'himaprodit', '2010']","['dar', 'singgah', 'lantai', '8', 'see', 'you', 'himaprodit', '2010']"
Choiro zak,5.0,Tempat kuliah berbasis teknologi yg cukup mumpuni,kuliah berbasis teknologi mumpuni,kuliah bas teknologi mumpuni,"['kuliah', 'bas', 'teknologi', 'mumpuni']","['kuliah', 'bas', 'teknologi', 'mumpuni']"
Syukri Driver,5.0,𝚂𝚞𝚍𝚊𝚑 𝙰𝚔𝚝𝚒𝚟𝚒𝚝𝚊𝚜 𝚗𝚘𝚛𝚖𝚊𝚕 𝚔𝚎𝚖𝚋𝚊𝚕𝚒, ,,[],[]
MOSIP SONI,5.0,🤗🤗🤗, ,,[],[]
